File,SubFile,Score,Bias,EValue(C),EValue(I),HMM-From,HMM-To,Ali-From,Ali-To,Env-From,Env-To,Accuracy,HMM-Length,Ali-Length,Env-Length
OceanDNA-b41030,1870,314.1,0.0,1.3e-97,1.1e-94,35,296,69,333,59,333,0.94,261,264,274
OceanDNA-b38376,1463,325.9,0.1,5.6e-101,2.8e-98,33,296,85,353,76,353,0.93,263,268,277
OceanDNA-b39170,558,329.6,1.7,8e-103,1.7e-99,34,296,60,327,25,327,0.92,262,267,302
OceanDNA-b38936,521,336.9,1.1,9.5e-105,3.1e-102,37,296,49,313,20,313,0.92,259,264,293
OceanDNA-b7262,306,142.3,0.0,9.3e-46,3.5e-43,74,288,66,287,48,293,0.91,214,221,245
OceanDNA-b22615,804,188.6,0.0,2.2e-59,4.3e-56,41,281,80,327,60,337,0.9,240,247,277
OceanDNA-b17441,966,216.5,0.1,2.3e-68,2.3e-65,42,277,49,291,42,306,0.9,235,242,264
OceanDNA-b7374,41,129.3,0.0,8.4e-42,2.7e-39,53,275,43,273,35,291,0.89,222,230,256
OceanDNA-b45838,706,147.1,0.0,3.1e-47,3.9e-44,38,279,97,345,80,353,0.89,241,248,273
OceanDNA-b7010,154,150.4,0.0,6.3e-48,1.3e-45,53,276,57,288,46,303,0.89,223,231,257
OceanDNA-b17273,142,215.4,0.1,1.5e-67,1.3e-64,54,281,65,300,50,311,0.89,227,235,261
OceanDNA-b4858,199,123.9,0.0,3.6e-40,7.2e-38,55,282,35,273,25,284,0.88,227,238,259
OceanDNA-b7003,11,147.9,0.0,1.9e-47,8.2e-45,53,275,52,282,28,298,0.88,222,230,270
OceanDNA-b10708,286,151.7,0.0,1.3e-48,5.5e-46,51,276,40,272,11,291,0.88,225,232,280
OceanDNA-b6173,392,133.1,0.2,5.9e-43,3.3e-40,72,281,53,273,20,287,0.88,209,220,267
OceanDNA-b6423,306,157.0,0.1,3e-50,1.5e-47,48,275,38,272,8,287,0.88,227,234,279
OceanDNA-b40685,345,211.2,0.2,1.9e-66,1.1e-63,44,274,25,270,21,281,0.88,230,245,260
OceanDNA-b4683,266,133.7,0.0,3.8e-43,1.9e-40,71,275,56,266,27,283,0.88,204,210,256
OceanDNA-b6345,278,143.2,0.1,4.9e-46,1.4e-43,72,282,66,287,40,299,0.88,210,221,259
OceanDNA-b6426,302,148.1,0.0,1.6e-47,1.1e-44,49,275,35,268,4,277,0.87,226,233,273
OceanDNA-b40618,49,198.7,0.0,2.5e-62,3.8e-60,68,275,51,275,32,288,0.87,207,224,256
OceanDNA-b9951,224,148.1,0.0,1.6e-47,6.4e-45,54,278,43,275,30,293,0.87,224,232,263
OceanDNA-b22997,133,67.9,0.0,1.3e-22,4.4e-20,33,244,18,235,2,249,0.87,211,217,247
OceanDNA-b7440,29,145.0,0.0,1.4e-46,4.7e-44,50,275,37,269,8,286,0.87,225,232,278
OceanDNA-b40232,2108,212.3,0.0,8.7e-67,1e-63,45,275,112,357,104,370,0.87,230,245,266
OceanDNA-b5007,104,110.8,0.0,3.6e-36,9.9e-34,53,280,32,269,20,283,0.87,227,237,263
OceanDNA-b10094,20,136.6,0.1,5e-44,2.4e-41,48,276,33,268,8,283,0.87,228,235,275
OceanDNA-b40777,1138,207.8,0.0,2.1e-65,1.2e-62,48,275,36,278,10,292,0.86,227,242,282
OceanDNA-b40594,236,149.5,0.1,5.9e-48,2.2e-45,70,283,79,308,15,314,0.86,213,229,299
OceanDNA-b20676,16,112.9,0.0,1.6e-36,2.8e-34,53,282,19,257,14,268,0.85,229,238,254
OceanDNA-b20043,202,105.5,0.0,3e-34,5.1e-32,54,282,225,465,215,474,0.85,228,240,259
OceanDNA-b12544,188,133.7,0.0,3.9e-43,1.2e-40,66,281,73,298,45,309,0.85,215,225,264
OceanDNA-b5526,273,146.7,0.0,8.2e-47,2.1e-44,71,283,94,318,60,328,0.84,212,224,268
OceanDNA-b38370,238,81.7,0.0,5.4e-27,4.4e-24,52,275,33,266,27,281,0.84,223,233,254
OceanDNA-b5520,32,143.5,0.0,3.9e-46,1.8e-43,54,282,35,278,25,290,0.84,228,243,265
OceanDNA-b12541,171,138.2,0.0,1.6e-44,5.3e-42,53,282,39,283,26,297,0.84,229,244,271
OceanDNA-b4882,38,115.4,0.1,1.5e-37,3.5e-35,53,273,36,268,26,291,0.84,220,232,265
OceanDNA-b41358,795,79.7,0.0,4.4e-26,1.3e-23,43,245,36,241,6,271,0.84,202,205,265
OceanDNA-b5513,155,153.8,0.0,2.9e-49,1.3e-46,54,282,33,276,14,287,0.84,228,243,273
OceanDNA-b12532,131,132.7,0.0,7.6e-43,2.3e-40,53,282,51,295,41,309,0.83,229,244,268
OceanDNA-b41349,858,77.4,0.0,1.1e-25,6.5e-23,43,245,36,241,5,271,0.83,202,205,266
OceanDNA-b12521,140,131.9,0.0,1.4e-42,3.5e-40,55,282,44,286,34,300,0.83,227,242,266
OceanDNA-b5433,327,146.3,0.0,5.6e-47,2.5e-44,53,282,35,279,23,290,0.83,229,244,267
OceanDNA-b22112,1138,137.2,0.0,3.3e-44,7.5e-41,28,276,47,302,19,317,0.82,248,255,298
OceanDNA-b20744,16,71.5,0.1,3.4e-24,9.1e-22,53,282,78,334,69,346,0.82,229,256,277
OceanDNA-b40607,496,136.3,0.0,6.2e-44,3.7e-41,62,278,114,346,53,357,0.82,216,232,304
OceanDNA-b40641,953,148.3,0.1,5.5e-47,1.8e-44,59,286,106,348,45,354,0.81,227,242,309
OceanDNA-b40853,487,146.2,0.0,6e-47,4.6e-44,68,278,68,294,3,305,0.81,210,226,302
OceanDNA-b41014,987,65.7,1.1,6e-22,4.3e-19,6,270,36,305,31,322,0.79,264,269,291
OceanDNA-b22185,127,141.2,0.0,1.9e-45,4.8e-42,43,281,54,309,16,322,0.79,238,255,306
OceanDNA-b41055,555,60.0,0.7,2.2e-20,2.4e-17,20,269,19,270,3,286,0.79,249,251,283
OceanDNA-b20565,177,62.8,0.0,1.5e-21,4.2e-19,54,282,56,311,45,322,0.79,228,255,277
OceanDNA-b40635,555,150.1,0.2,3.8e-48,2.3e-45,13,272,21,300,7,315,0.78,259,279,308
OceanDNA-b41349,857,97.6,0.0,7.5e-32,4.5e-29,30,274,35,291,11,308,0.78,244,256,297
OceanDNA-b41152,26,69.0,0.9,4e-23,4.5e-20,7,271,37,306,31,327,0.78,264,269,296
OceanDNA-b20259,119,68.7,0.3,2.3e-23,7.7e-21,66,282,71,317,53,327,0.77,216,246,274
OceanDNA-b19687,279,59.0,0.0,2.1e-20,9.5e-18,73,281,82,319,60,328,0.77,208,237,268
OceanDNA-b19817,245,49.2,0.1,2.2e-17,8.3e-15,74,280,90,330,68,341,0.77,206,240,273
OceanDNA-b20098,139,53.4,0.6,2.2e-18,2.8e-16,71,280,84,327,63,335,0.76,209,243,272
OceanDNA-b20491,297,52.9,0.0,3.1e-18,5.2e-16,54,279,55,307,47,320,0.76,225,252,273
OceanDNA-b20056,324,54.5,0.0,1e-18,2e-16,72,280,78,313,56,323,0.75,208,235,267
OceanDNA-b41178,255,69.1,1.2,3.7e-23,4e-20,8,270,34,302,28,320,0.75,262,268,292
OceanDNA-b40613,659,149.3,0.2,2e-47,5.2e-45,25,279,48,321,20,333,0.75,254,273,313
OceanDNA-b20044,310,48.4,0.1,3.8e-17,1.5e-14,72,282,105,342,82,352,0.75,210,237,270
OceanDNA-b18639,90,56.7,1.6,2.2e-19,4.5e-17,68,282,99,340,78,352,0.74,214,241,274
OceanDNA-b13256,1664,17.4,0.0,7.2e-07,0.0002,42,286,361,588,350,594,0.73,244,227,244
OceanDNA-b41044,685,52.5,1.1,4.1e-18,3.8e-15,16,265,11,268,3,288,0.73,249,257,285
OceanDNA-b20097,224,46.4,0.0,4.5e-16,4.5e-14,55,282,60,316,56,324,0.73,227,256,268
OceanDNA-b20098,140,44.9,0.0,8.3e-16,1e-13,55,280,95,349,91,359,0.72,225,254,268
OceanDNA-b41127,1967,64.5,2.9,4.7e-22,1e-18,12,270,33,297,22,314,0.72,258,264,292
OceanDNA-b19686,2,59.5,0.0,3e-20,7e-18,64,282,78,330,63,341,0.71,218,252,278
OceanDNA-b40618,310,134.4,0.1,9.4e-43,1.4e-40,17,250,44,296,28,346,0.71,233,252,318
OceanDNA-b20756,163,51.3,0.0,4.8e-18,1.4e-15,72,281,96,331,73,340,0.71,209,235,267
OceanDNA-b41211,1622,34.8,0.1,5.2e-13,1e-09,17,268,33,289,17,303,0.69,251,256,286
OceanDNA-b34615,91,12.8,0.2,2.6e-06,0.0023,35,237,81,292,47,309,0.68,202,211,262
OceanDNA-b40777,480,14.2,2.5,2e-06,0.0011,16,220,6,244,1,266,0.62,204,238,265
